player,overall_win_rate,overall_loss_rate,overall_draw_rate,overall_mean_reward,vs_scripted_win_rate,vs_scripted_loss_rate,vs_scripted_draw_rate,vs_scripted_mean_reward,vs_learned_win_rate,generalization_gap,algorithm
IPPO_latest_,0.18571428571428572,0.18571428571428572,0.6285714285714286,0.3142857142857143,0.24,0.26,0.5,0.46,0.05,0.19,IPPO
FSPPPO_latest,0.32857142857142857,0.34285714285714286,0.32857142857142857,0.6714285714285714,0.42,0.46,0.12,0.88,0.1,0.31999999999999995,FSPPPO
SPPPO_latest,0.07142857142857142,0.1,0.8285714285714286,0.11428571428571428,0.1,0.1,0.8,0.2,0.0,0.1,SPPPO
